cam,dtnt,BB,BO,TO,TB,TS,SB,Top.Roughness,Dist.FW,FPAR,Elevation,isothermal,Veg,Land.Use,Soil.Class
JC-PM-12,2,0,0,0,1,0,1,99,9934.985352,0.286773086,152.0562744,0.525157213,TallEuc,Reserve,8
JC-PM-23,2.3,0,0,0,0,0,4,99,9934.985352,0.286773086,152.0562744,0.525157213,TallEuc,Reserve,8
LH-CX1,8.4,0,0,0,0,0,0,12,967.9516602,0.283940822,756.942688,0.504915118,TallEuc,Reserve,4
LH-CX1_S1-2,8.4,0,0,0,1,0,4,12,967.9516602,0.283940822,756.942688,0.504915118,TallEuc,Reserve,4
LH-CX2,10.1,0,0,0,0,0,0,58,1671.428955,0.293013602,784.2752075,0.507306159,TallEuc,ModifiedNative,4
LH-CX2_S1,10,0,0,0,0,0,0,58,1671.428955,0.293013602,784.2752075,0.507306159,TallEuc,ModifiedNative,4
LH-CX3_S1,4.4,0,0,0,0,0,0,19,1965.708374,0.281703323,782.9197998,0.506541073,TallEuc,Reserve,4
LH-N1,2.9,0,0,0,0,0,3,81,1023.649597,0.248503,807.9046631,0.49846682,TallEuc,Reserve,4
LH-N2,11.9,0,0,0,0,4,0,66,1879.7854,0.36752969,723.6304932,0.508663833,Grassland,Reserve,4
LH-N3,5.3,1,0,0,1,0,3,76,2736.217773,0.300130159,869.3548584,0.496116757,TallEuc,Reserve,4
LH-N4,7.1,0,0,0,1,3,1,12,656.9724731,0.314406574,785.9102783,0.508324683,Woodland,Reserve,4
LH-N5,9,0,0,0,0,0,0,15,5461.517578,0.258370847,733.9620972,0.511789262,TallEuc,ModifiedNative,4
LH-S1-C1,16.1,0,0,0,0,0,0,16,9546.15625,0.268364549,428.1392822,0.523753285,Woodland,Reserve,9
LH-S1-C1_S1,16.1,0,0,0,0,0,0,29,8144.614746,0.342646122,539.3897095,0.508662224,Rainforest,Reserve,9
LH-S1-C1_S2,16.1,0,0,0,0,0,0,29,8144.614746,0.342646122,539.3897095,0.508662224,Rainforest,Reserve,9
LH-S1-C1_S3,16.1,0,0,0,0,0,0,29,8144.614746,0.342646122,539.3897095,0.508662224,Rainforest,Reserve,9
LH-S1-C2_S1,20,0,0,0,0,0,0,38,11478.97949,0.352611661,466.0682983,0.515879452,Shurbland,Reserve,9
LH-S1-C2_S2-5,20,0,0,0,0,0,0,38,11478.97949,0.352611661,466.0682983,0.515879452,Shurbland,Reserve,9
LH-S1-C3_S1,20.4,0,0,0,0,0,0,50,12328.45508,0.327458054,451.1554871,0.516882777,Grassland,Reserve,9
