"cam","BB","BO","TO","TB","TS","SB","Top.Roughness","Dist.FW","FPAR","Elevation","isothermal","Veg","Land.Use","Soil.Class"
"51_3",2,0,0,0,0,1,60,12799.7705078125,0.324905693531036,174.475799560547,0.512711882591248,"Woodland","ModifiedNative","4"
"52_1",0,1,0,3,0,1,22,12175.4052734375,0.220527336001396,488.216888427734,0.502303183078766,"TallEuc","ModifiedNative","5"
"52_2",0,0,0,0,0,1,54,12174.2255859375,0.179369747638702,498.714019775391,0.499321103096008,"Human/Other","Plantation","5"
"52_3",0,0,0,0,0,0,65,12799.1533203125,0.215404540300369,494.449829101562,0.498076915740967,"TallEuc","Reserve","5"
"53_2",2,0,0,3,0,0,58,10883.5712890625,0.23467293381691,552.504699707031,0.502223372459412,"Woodland","Reserve","4"
"54_1",2,0,0,6,0,0,153,12980.5361328125,0.200690135359764,500.409088134766,0.495407164096832,"TallEuc","Reserve","4"
"54_2",0,0,0,2,0,0,30,12218.8173828125,0.200485810637474,557.751220703125,0.494199424982071,"Rainforest","Reserve","4"
"54_3",1,0,0,0,0,6,33,14877.7109375,0.199578180909157,553.286926269531,0.495644152164459,"Human/Other","Plantation","4"
"55_1",0,0,0,0,0,1,87,18067.830078125,0.194214046001434,617.933959960938,0.494180887937546,"Human/Other","Plantation","4"
"57_1",0,0,0,0,0,0,51,20525.951171875,0.191457346081734,323.468566894531,0.513380765914917,"Human/Other","Plantation","4"
"57_2",0,0,0,0,0,2,51,20525.951171875,0.191457346081734,323.468566894531,0.513380765914917,"Human/Other","Plantation","4"
"57_3",0,0,0,12,0,0,73,20294.140625,0.174879044294357,330.942443847656,0.51238340139389,"TallEuc","ModifiedNative","4"
"58_1",0,0,0,0,0,1,157,12205.341796875,0.20013515651226,650.888549804688,0.494235932826996,"Rainforest","Reserve","4"
"59_1",0,0,0,0,0,1,37,11398.3427734375,0.192870050668716,602.946838378906,0.4989874958992,"Rainforest","ModifiedNative","4"
"59_2",0,0,0,0,0,6,47,11051.16015625,0.190963670611382,417.134887695312,0.508577823638916,"TallEuc","ModifiedNative","4"
"6_2",1,0,2,3,0,1,59,5667.71923828125,0.267767429351807,386.636932373047,0.520577251911163,"TallEuc","ModifiedNative","4"
"60_1",0,0,0,0,0,1,110,16559.919921875,0.242095217108727,427.098693847656,0.505010545253754,"Woodland","Reserve","4"
"60_2",1,0,0,0,0,0,157,16231.451171875,0.191866472363472,465.053039550781,0.501802980899811,"Rainforest","Reserve","4"
"60_3",0,0,0,0,0,3,44,19700.798828125,0.307435095310211,208.690902709961,0.513818025588989,"TallEuc","Reserve","4"
"60_5",0,0,0,0,1,0,31,13618.439453125,0.194808200001717,425.5,0.507116973400116,"TallEuc","ModifiedNative","4"
"61_1",0,0,0,1,0,0,41,17635.541015625,0.275518506765366,109.966827392578,0.516361236572266,"TallEuc","Reserve","10"
"61_2",0,0,0,0,0,1,68,18709.841796875,0.273888558149338,167.636856079102,0.5144322514534,"TallEuc","Reserve","4"
"62_1",0,0,0,0,0,2,19,15491.25390625,0.317332834005356,94.7326812744141,0.516710758209229,"Woodland","Reserve","10"
"62_2",1,0,0,3,0,3,47,16737.021484375,0.314750194549561,129.887176513672,0.515358984470367,"Grassland","Reserve","10"
"62_3",2,0,0,2,0,0,47,16737.021484375,0.314750194549561,129.887176513672,0.515358984470367,"Grassland","Reserve","10"
"63_1",0,0,0,3,0,0,94,10942.0419921875,0.240033328533173,249.626968383789,0.508859515190125,"TallEuc","Reserve","4"
"63_2",0,0,0,6,0,0,57,10622.7353515625,0.246865600347519,175.205383300781,0.510895013809204,"TallEuc","ModifiedNative","8"
"63_3",0,0,0,2,0,0,92,10068.2822265625,0.243011504411697,212.447128295898,0.507813930511475,"TallEuc","Reserve","4"
"64_1",0,0,0,0,2,0,101,8136.76220703125,0.207403585314751,449.599761962891,0.498249500989914,"Rainforest","Plantation","4"
"65_1",0,0,0,0,0,1,141,3697.3486328125,0.208121135830879,461.334045410156,0.507766485214233,"TallEuc","Reserve","4"
"65_2",1,0,0,0,0,2,126,5391.49462890625,0.203252643346786,609.2822265625,0.487008690834045,"TallEuc","Reserve","4"
"65_3",0,0,0,10,0,4,73,5540.35986328125,0.216668277978897,445.870971679688,0.506840825080872,"Woodland","Reserve","4"
"66_1",0,0,0,0,0,0,57,7083.9619140625,0.217290967702866,261.317077636719,0.507017552852631,"Woodland","Reserve","4"
"67_1",1,0,0,2,0,7,22,13787.3134765625,0.244144797325134,144.427810668945,0.509032130241394,"Woodland","Reserve","4"
"68_1",0,0,0,6,0,0,18,15947.6826171875,0.30076014995575,116.260551452637,0.507708847522736,"Woodland","Reserve","4"
"68_2",1,0,0,0,0,3,24,14929.2060546875,0.332969158887863,120.667129516602,0.508449912071228,"Grassland","Reserve","4"
"68_3",0,0,0,0,0,1,31,13304.1552734375,0.310101896524429,136.184783935547,0.509547114372253,"Shurbland","Reserve","4"
"69_1",0,0,0,0,0,3,53,2214.72924804688,0.293099790811539,18.7264995574951,0.51551079750061,"Woodland","Reserve","4"
