"","cam","X","lon","lat","Land.Use","Veg","meanDiurnal","isothermal","meanTwetQ","meanTdryQ","precipseas","precipwarmQ","Elevation","FPAR","Pop.Density","Dist.FW","Dist.Road","Fire.Freq","Top.Roughness","dtnt","count_unique_cats","IDImg","unImg","IPC","Un.Est","Coat"
"54","37_1",54,147.79669,-41.5353,"Modified","Human/Other",10.805832862854,0.522020936012268,6.90000009536743,15.1000003814697,0.211156979203224,165,458.238250732422,0.397325962781906,1.51511001586914,10451.1396484375,0,0,61,1.1,NA,NA,NA,NA,NA,"B"
"55","37_3",55,147.77995,-41.54123,"Reserve","Woodland",10.8374996185303,0.52203756570816,6.90000009536743,15.1000003814697,0.221891179680824,165,412.900421142578,0.249630495905876,0.789724469184875,9199.421875,284.160797119141,0,57,1.7,NA,NA,NA,NA,NA,"O"
"56","37_4",56,147.81539,-41.48213,"Modified","Human/Other",10.8408336639404,0.523711740970612,7.5,15.6000003814697,0.214436501264572,173,314.231414794922,0.32547801733017,0,7093.158203125,0,0,19,5.5,NA,NA,NA,NA,NA,"BB"
"57","37_5",57,147.69222,-41.49902,"Modified","TallEuc",8.59666633605957,0.48052915930748,4.09999990463257,12.1000003814697,0.272871017456055,228,846.162414550781,0.255328893661499,0,10268.587890625,0,0,71,7.6,NA,NA,NA,NA,NA,"B"
"58","38_1",58,147.65791,-41.47552,"Modified","Woodland",9.37333297729492,0.495943576097488,5,13.1000003814697,0.289079785346985,229,765.688293457031,0.227439194917679,0,12840.541015625,0,0,123,6.3,NA,NA,NA,NA,NA,"TB"
"59","38_2",59,147.64117,-41.47428,"Reserve","TallEuc",9.89833354949951,0.505016982555389,5.69999980926514,13.8000001907349,0.291251420974731,203,691.014709472656,0.231850013136864,0,13080.595703125,86.9608840942383,0,86,4.9,NA,NA,NA,NA,NA,"TB"
"60","39_2",60,147.56096,-41.54234,"Reserve","Woodland",9.79666709899902,0.501621425151825,5.09999990463257,13.3000001907349,0.288087278604507,211,677.886657714844,0.243456587195396,0,12393.9736328125,0,0,63,9.4,NA,NA,NA,NA,NA,"TB"
"61","39_3",61,147.56821,-41.53768,"Reserve","Woodland",9.79666709899902,0.501621425151825,5.09999990463257,13.3000001907349,0.288087278604507,211,677.886657714844,0.243456587195396,0,12393.9736328125,0,0,63,8.8,NA,NA,NA,NA,NA,"TB"
"62","4_1",62,147.76406,-41.3895,"Reserve","TallEuc",8.03750038146973,0.469206064939499,3.70000004768372,11.8999996185303,0.299116611480713,238,873.307678222656,0.210004329681396,0,4874.78076171875,0,0,89,6.1,NA,NA,NA,NA,NA,"TS"
"63","4_2",63,147.772,-41.36026,"Reserve","Grassland",8.52166652679443,0.480906695127487,4.40000009536743,12.6999998092651,0.337111949920654,227,794.892761230469,0.336387932300568,0,1640.03356933594,0,0,20,7.3,NA,NA,NA,NA,NA,"BB"
"64","4_3",64,147.80473,-41.35696,"Reserve","Rainforest",8.68416690826416,0.485420167446136,4.69999980926514,13,0.32254484295845,222,734.148071289062,0.260541945695877,0,3309.0458984375,0,0,19,7.9,NA,NA,NA,NA,NA,"B"
"65","40_2",65,148.25077,-41.45055,"Modified","Human/Other",9.79833316802979,0.531651318073273,15.8999996185303,15.6999998092651,0.152524620294571,172,42.7325782775879,0.331666827201843,26.4377498626709,2314.53100585938,0,1,34,2.4,NA,NA,NA,NA,NA,"B"
"66","42_6",66,148.098511,-41.383531,"Reserve","TallEuc",9.95416641235352,0.523627936840057,15.3000001907349,15.1999998092651,0.129693210124969,191,130.761840820312,0.26169154047966,0,13109.314453125,0,0,107,10.3,NA,NA,NA,NA,NA,"B"
"67","43_2",67,148.0201,-41.46909,"Reserve","Woodland",10.2041664123535,0.519825100898743,14.3000001907349,14.1000003814697,0.115137532353401,203,332.722991943359,0.283800065517426,0,4943.12548828125,0,0,75,13.6,NA,NA,NA,NA,NA,"B"
"68","44_1",68,147.92548,-41.34348,"Reserve","Rainforest",9.55249977111816,0.506495237350464,6.90000009536743,14.6999998092651,0.204382091760635,206,461.670349121094,0.203871041536331,0,7892.078125,0.840504586696625,0,58,8.9,NA,NA,NA,NA,NA,"TB"
"69","44_2",69,147.92843,-41.34949,"Reserve","Rainforest",9.55249977111816,0.506495237350464,6.90000009536743,14.6999998092651,0.204382091760635,206,461.670349121094,0.203871041536331,0,7892.078125,0.840504586696625,0,58,9.2,NA,NA,NA,NA,NA,"B"
"70","44_3",70,147.89499,-41.3622,"Reserve","TallEuc",8.65916633605957,0.486743479967117,5,13.1999998092651,0.262337386608124,224,714.555603027344,0.212256655097008,0,10259.46875,88.5217666625977,0,56,12.1,NA,NA,NA,NA,NA,"B"
"71","45_1",71,147.71532,-41.35711,"Reserve","Rainforest",8.40416622161865,0.477238297462463,4.09999990463257,12.3999996185303,0.33026134967804,231,823.169982910156,0.193422749638557,0,5068.30322265625,0,0,32,4.5,NA,NA,NA,NA,NA,"TB"
"72","45_2",72,147.71083,-41.3521,"Reserve","Rainforest",8.61083316802979,0.481859713792801,4.40000009536743,12.8000001907349,0.337169945240021,226,754.971008300781,0.181088909506798,0,4838.17529296875,106.802764892578,0,171,3.9,NA,NA,NA,NA,NA,NA
"73","46_1",73,147.60855,-41.36735,"Modified","TallEuc",8.57750034332275,0.47892239689827,4,12.5,0.330639362335205,225,834.72705078125,0.237055465579033,0,14475.333984375,0,0,175,9.8,NA,NA,NA,NA,NA,NA
"74","47_1",74,147.50927,-41.42427,"Modified","TallEuc",10.2333335876465,0.508614957332611,6.19999980926514,14.5,0.338054776191711,183,520.489013671875,0.26080521941185,0,8931.650390625,0,0,31,4.1,NA,NA,NA,NA,NA,"TB"
"75","47_2",75,147.50244,-41.4186,"Reserve","Woodland",10.0541667938232,0.50599730014801,6,14.1999998092651,0.337001502513885,194,535.35205078125,0.195762142539024,0,8713.767578125,0,0,94,4.5,NA,NA,NA,NA,NA,"TB"
"76","47_3",76,147.51658,-41.42181,"Reserve","TallEuc",10.1308336257935,0.507302641868591,6.09999990463257,14.3000001907349,0.336663097143173,189,486.814697265625,0.20306085050106,0,9562.0908203125,0,0,66,4.6,NA,NA,NA,NA,NA,"TB"
"77","48_1",77,147.49394,-41.36085,"Modified","Human/Other",9.49416637420654,0.496556848287582,5,13.6999998092651,0.340489953756332,202,642.178894042969,0.246523186564445,0,8995.548828125,235.053268432617,0,28,3.7,NA,NA,NA,NA,NA,"TB"
"78","48_2",78,147.50384,-41.38212,"Reserve","Shurbland",9.8125,0.502175033092499,5.40000009536743,14.1000003814697,0.340377479791641,186,587.007629394531,0.207186833024025,0,8999.099609375,57.9424819946289,0,41,5.6,NA,NA,NA,NA,NA,"B"
"79","48_3",79,147.53181,-41.36542,"Modified","Human/Other",8.53833293914795,0.477001875638962,3.79999995231628,12.3000001907349,0.331062376499176,222,806.151306152344,0.211876347661018,0,11761.3369140625,0,0,53,6.9,NA,NA,NA,NA,NA,"TS"
"80","48_4",80,147.51816,-41.35026,"Reserve","TallEuc",9.27000045776367,0.492561101913452,4.80000019073486,13.3999996185303,0.340235322713852,210,676.862670898438,0.193812042474747,0,11013.6875,0,0,81,5.5,NA,NA,NA,NA,NA,"TB"
"81","48_5",81,147.50084,-41.35334,"Reserve","Rainforest",9.40333366394043,0.494651943445206,4.90000009536743,13.6000003814697,0.339591503143311,205,672.43359375,0.197635844349861,0,9751.4384765625,781.472778320312,0,28,4.1,NA,NA,NA,NA,NA,"TB"
"82","49_1",82,147.43167,-41.36943,"Reserve","Shurbland",8.73999977111816,0.479956060647964,3.90000009536743,12.5,0.336738675832748,213,837.939819335938,0.234893754124641,0.946715593338013,4248.5,0,0,89,2.7,NA,NA,NA,NA,NA,"TB"
"83","49_3",83,147.43493,-41.36426,"Reserve","Shurbland",8.73999977111816,0.479956060647964,3.90000009536743,12.5,0.336738675832748,213,837.939819335938,0.234893754124641,0.946715593338013,4248.5,0,0,89,2.1,NA,NA,NA,NA,NA,"TB"
"84","5_1",84,147.83763,-42.29187,"Modified","TallEuc",10.0016670227051,0.52447122335434,12.1999998092651,13.5,0.148818910121918,153,331.001098632812,0.280753344297409,0,5538.220703125,0,0,119,9.2,NA,NA,NA,NA,NA,"O"
"85","5_2",85,147.83095,-42.29439,"Reserve","Woodland",10.2425003051758,0.529328167438507,14.5,7.90000009536743,0.151790663599968,151,283.774505615234,0.358295202255249,0,6530.29638671875,306.271728515625,0,131,8.6,NA,NA,NA,NA,NA,"BB"
"86","50_1",86,147.39157,-41.35782,"Reserve","TallEuc",9.51833343505859,0.495230674743652,5,13.6999998092651,0.346308648586273,191,593.576782226562,0.222675204277039,0,4370.6318359375,0,0,166,5.1,NA,NA,NA,NA,NA,NA
"87","51_1",87,147.59998,-41.12017,"Reserve","Woodland",9.57750034332275,0.514090180397034,8.69999980926514,16.7000007629395,0.284615218639374,139,109.349647521973,0.325192928314209,0,10869.623046875,0,0,35,5.4,NA,NA,NA,NA,NA,"TB"
"88","51_3",88,147.57828,-41.14178,"Modified","Woodland",9.68000030517578,0.512711882591248,8.19999980926514,16.2999992370605,0.308231681585312,154,174.475799560547,0.324905693531036,0.142614737153053,12799.7705078125,0,0,60,3.3,NA,NA,NA,NA,NA,"BB"
"89","52_1",89,147.25816,-41.33931,"Modified","TallEuc",9.99583339691162,0.502303183078766,5.90000009536743,14.6999998092651,0.35028401017189,164,488.216888427734,0.220527336001396,0.0718443319201469,12175.4052734375,0,0,22,5.1,NA,NA,NA,NA,NA,"TB"
"90","52_2",90,147.23749,-41.31127,"Modified","Human/Other",9.80666637420654,0.499321103096008,5.90000009536743,14.6000003814697,0.350807160139084,168,498.714019775391,0.179369747638702,0.284648478031158,12174.2255859375,0,0,54,3.4,NA,NA,NA,NA,NA,"O"
"91","52_3",91,147.23888,-41.29272,"Reserve","TallEuc",9.71249961853027,0.498076915740967,5.80000019073486,14.5,0.351418673992157,170,494.449829101562,0.215404540300369,1.24052858352661,12799.1533203125,0,0,65,2.8,NA,NA,NA,NA,NA,"O"
"92","53_2",92,147.41192,-41.29593,"Reserve","Woodland",9.78833293914795,0.502223372459412,5.90000009536743,14.6000003814697,0.351536214351654,176,552.504699707031,0.23467293381691,0.126674979925156,10883.5712890625,0,0,58,3.2,NA,NA,NA,NA,NA,"O"
