cam,dtnt
SV-S1-C2_S2-5,8.5
SV-S1-C3,3.8
SV-S1-C3_S1,7.3
SV-S1-C3_S3-4,3.7
SV-S1-C4_S2-6,5.4
SV-S1-C5,6.6
SV-S2-C1,2
SV-S2-C2,1.3
SV-S2-C3,0.3
SV-S2-C4,6.2
SV-S2-C4_S3,5.7
SV-S2-C5,4.8
SV-S2-C5_S1,4.8
SV-S3-C1,8.6
SV-S3-C1_S1,8.6
SV-S3-C2,8.3
SV-S3-C3_S1,7.7
SV-S3-C3_S2-5,7.7
SV-S3-C4,7.8
SV-S3-C4_S1,7.8
SV-S3-C5,6.6
SV-S3-C5_S1,6.6
SV-S4-C1,6.6
SV-S4-C2,7.5
SV-S4-C3,8.2
SV-S4-C3_S1,8.2
SV-S4-C4,8.9
SV-S4-C5,10.1
SV-S5-C1,11.3
SV-S5-C1_S1,13.7
SV-S5-C1_S2,13.7
SV-S5-C2,12.6
SV-S5-C2_S1,12.6
SV-S5-C3,11.8
SV-S5-C4_S1-6,12.9
SV-S5-C5_S1-6,13.3
SV-S6-C1,10.9
SV-S6-C1_S1,10.9
SV-S6-C2,11.4
SV-S6-C2_S1,11.3
SV-S6-C3,10.1
SV-S6-C3_S1-5,9.6
SV-S6-C4,9.1
SV-S6-C5,11
SV-S6-C5_S1,11
SV-S7-C1,7.2
SV-S7-C2,11.1
SV-S7-C2_S1-2,10
SV-S7-C3,6.1
SV-S7-C4,4.9
SV-S7-C4_S1,7.7
SV-S7-C4_S2-5,7.7
SV-S7-C5,9.4
SV-S7-C5_S1-3,9.3
SV-S8-C1,6.9
SV-S8-C1_S1,6.8
SV-S8-C1_S2,6.9
SV-S8-C2_S1-2,8.1
SV-S8-C2_S4-5,8.6
SV-S8-C3,10.6
SV-S8-C3_S1,11.4
SV-S8-C4,10.1
SV-S8-C4_S1,10.1
SV-S8-C5,8.8
SV-S9-C1,16
SV-S9-C1_S1,16
SV-S9-C2,16.8
SV-S9-C2_S1,16.8
SV-S9-C3,15.7
SV-S9-C3_S1,15.7
SV-S9-C4,16.6
SV-S9-C4_S1,16.7
SV-S9-C5,14.4
SV-S9-C5_S1,14.4
WC-N1,27
WC-N2,8.9
WC-N2_S3,8.9
WC-N3,7.4
WC-N4,7.8
WC-N5,3.6
WC-S10-C1,8.3
WC-S10-C1_S1,8.3
WC-S10-C2,9
WC-S10-C2_S1,9
WC-S10-C2_S2,9
WC-S10-C3,9.6
WC-S10-C4,9.5
WC-S10-C4_S1,9.5
WC-S10-C5,9.6
WC-S10-C5_S1,9.6
WC-S10-C5_S2,9.6
WC-S1-C1,35.8
WC-S1-C1_S1,35.9
WC-S1-C1_S2-3,35.9
WC-S1-C2,35.4
WC-S1-C3,34.6
WC-S1-C4,34.3
WC-S1-C5,33.7
WC-S2-C1,33.6
WC-S2-C2,33.8
WC-S2-C3,33.8
WC-S2-C4,33.5
WC-S2-C5,33.5
WC-S3-C1,32.6
WC-S3-C1_S1,32.6
WC-S3-C2,31.7
WC-S3-C3,30.7
WC-S3-C4,29.7
WC-S3-C5,28.9
WC-S4-C1,27.5
WC-S4-C1_S1-4,27.4
WC-S4-C2,25.8
WC-S4-C3,27.7
WC-S4-C4,28.9
WC-S4-C4_S1,28.9
WC-S4-C5,29.4
WC-S5-C1,5.9
WC-S5-C1_S1-2,5.9
WC-S5-C2,9.4
WC-S5-C2_S1,9.5
WC-S5-C2_S2-3,9.5
WC-S5-C3,10.8
WC-S5-C4,6.7
WC-S5-C5,5.1
WC-S5-C5_S1-2,5
WC-S6-C1,7.7
WC-S6-C2,11.8
WC-S6-C3,3.8
WC-S6-C3_S1,3.8
WC-S6-C3_S2-3,3.8
WC-S6-C4,12.3
WC-S6-C5,11.2
WC-S6-C5_S1,11.3
WC-S7-C1,24.1
WC-S7-C2,22.4
WC-S7-C2_S1-2,22.5
WC-S7-C3,20.9
WC-S7-C4,19.5
WC-S7-C4_S2-3,19.5
WC-S7-C5,17.9
WC-S7-C5_S1,17.8
WC-S7-C5_S2,17.8
WC-S8-C1,3.7
WC-S8-C2,4.9
WC-S8-C3,6.6
WC-S8-C3_S1,6.5
WC-S8-C4,5.3
WC-S8-C5,5.4
WC-S9-C1,9.4
WC-S9-C2,9.5
WC-S9-C2_S1,9.5
WC-S9-C3,9.6
WC-S9-C4,8.7
WC-S9-C5,7.7
