camera,status,loc,ft,s0.date,s1.rd,s1.date,s1.pt,s2.rd,s2.date,s2.pt,s3.rd,s3.date,s3.pt,s4.rd,s4.date,s4.pt,s5.rd,s5.date,s5.pt,s6.rd,s6.date,s6.pt,s7.rd,s7.date,s7.pt,s8.rd,s8.date,s8.pt,,
BF-S7-C1,1,b,w,NA,NA,NA,NA,NA,1/07/2020,NA,169,17/12/2020,o,161,27/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
BF-S7-C2,1,b,w,15/08/2019,158,23/01/2020,o,110,1/07/2020,o,155,17/12/2020,l,161,27/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
BF-S7-C3,1,g,w,15/08/2019,161,23/01/2020,o,122,1/07/2020,o,169,17/12/2020,l,139,27/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
BF-S7-C4,1,r,i,15/08/2019,145,23/01/2020,o,143,1/07/2020,o,169,17/12/2020,o,127,27/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
BF-S7-C5,1,r,i,15/08/2019,155,23/01/2020,c,160,1/07/2020,o,169,17/12/2020,o,160,27/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
BF-S8-C1,1,b,w,NA,NA,23/01/2020,NA,160,1/07/2020,o,143,17/12/2020,o,161,27/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
BF-S8-C2,1,g,w,NA,NA,23/01/2020,NA,160,1/07/2020,o,120,17/12/2020,o,97,27/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
BF-S8-C3,1,r,w,15/08/2019,161,23/01/2020,o,150,1/07/2020,o,169,17/12/2020,o,161,27/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
BF-S8-C4,1,g,w,15/08/2019,161,23/01/2020,o,106,1/07/2020,o,120,17/12/2020,o,91,27/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
BF-S8-C5,1,b,w,15/08/2019,161,23/01/2020,l,138,1/07/2020,o,169,17/12/2020,o,161,27/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
BF-S9-C1,1,r,w,NA,NA,23/01/2020,NA,150,1/07/2020,o,121,17/12/2020,o,56,27/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
BF-S9-C2,1,g,w,15/08/2019,161,23/01/2020,o,158,1/07/2020,o,124,17/12/2020,o,55,27/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
BF-S9-C3,1,r,w,15/08/2019,106,23/01/2020,o,84,1/07/2020,o,106,17/12/2020,o,63,27/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
BF-S9-C4,1,b,w,NA,NA,NA,NA,NA,NA,NA,NA,17/12/2020,NA,161,27/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
BF-S9-C5,1,r,w,15/08/2019,159,23/01/2020,o,147,1/07/2020,o,126,17/12/2020,o,161,27/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
CM-N1,1,g,w,12/08/2019,161,20/01/2020,o,152,28/06/2020,o,169,14/12/2020,o,161,24/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
CM-N2,1,b,w,13/08/2019,160,20/01/2020,o,114,29/06/2020,o,107,14/12/2020,o,120,24/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
CM-N3,1,b,w,13/08/2019,70,21/01/2020,o,26,29/06/2020,o,169,15/12/2020,o,157,25/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
CM-N4,1,b,w,NA,NA,21/01/2020,NA,55,29/06/2020,o,168,15/12/2020,o,161,25/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
CM-N5,1,b,w,NA,NA,22/01/2020,NA,108,30/06/2020,o,80,16/12/2020,o,161,26/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
CM-S10-C1,1,b,w,NA,NA,22/01/2020,NA,160,30/06/2020,o,169,16/12/2020,o,127,26/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
CM-S10-C2,1,g,w,NA,NA,22/01/2020,NA,104,30/06/2020,o,139,16/12/2020,o,70,26/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
CM-S10-C3,1,r,i,14/08/2019,161,22/01/2020,o,160,30/06/2020,l,169,16/12/2020,o,161,26/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
CM-S10-C4,1,r,w,14/08/2019,161,22/01/2020,o,160,30/06/2020,o,168,16/12/2020,o,NA,26/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
CM-S10-C5,1,b,w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26/05/2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
CM-S1-C1,1,b,w,NA,NA,NA,NA,NA,NA,NA,NA,14/12/2020,NA,161,24/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
CM-S1-C2,1,b,w,12/08/2019,149,20/01/2020,o,146,28/06/2020,o,169,14/12/2020,o,159,24/05/2021,o,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
